STATION,YEAR,BOARDS,ALIGHTS
Glencoe,2002,724,708
Braeside,2002,340,329
Ravinia,2002,330,333
Highland Park,2002,1107,1123
Highwood,2002,311,286
Fort Sheridan,2002,285,279
Lake Forest,2002,726,720
Lake Bluff,2002,504,517
Great Lakes,2002,156,163
North Chicago,2002,190,208
Waukegan,2002,893,924
Zion,2002,103,107
Winthrop Harbor,2002,77,75
Kenosha,2002,341,348
Hammond,2002,1126,1124
East Chicago,2002,1441,1429
Gary / Chicago Airport,2002,209,177
Gary Metro Center,2002,537,518
Miller,2002,449,426
Ogden Dunes,2002,218,216
Dune Park,2002,429,440
Beverly Shores,2002,39,32
11th Street (Michigan City),2002,111,99
Carroll Avenue (Michigan City),2002,158,157
Hudson Lake,2002,5,5
South Bend Airport,2002,105,102
Clyde,2002,71,68
Hermosa,2002,50,53
Cragin,2002,29,36
Stony Island,1999,235,246
Bryn Mawr,1999,294,287
South Shore,1999,442,454
Windsor Park,1999,325,326
Cheltenham (79th Street),1999,232,248
83rd Street,1999,450,448
87th Street,1999,267,279
93rd Street (South Chicago),1999,960,971
Hegewisch,1999,1757,1619
State Street,1999,103,87
Stewart Ridge,1999,89,81
West Pullman,1999,69,57
Racine Avenue,1999,84,89
Ashland Avenue,1999,132,132
Burr Oak,1999,221,208
Blue Island,1999,264,259
Millennium Station,1999,18605,17045
Van Buren Street,1999,7710,9628
Roosevelt Road,1999,579,609
18th Street,1999,29,34
McCormick Place,1999,750,603
27th Street,1999,112,147
47th Street (Kenwood),1999,81,122
53rd Street (Hyde Park),1999,802,844
55th-56th-57th Street,1999,677,702
59th Street (University of Chicago),1999,1571,1494
63rd Street,1999,99,91
75th Street (Grand Crossing),1999,26,35
79th Street (Chatham),1999,134,156
83rd Street (Avalon Park),1999,102,96
87th Street (Woodruff),1999,93,90
91st Street (Chesterfield),1999,32,42
95th Street (Chicago State University),1999,77,67
103rd Street (Rosemoor),1999,67,81
107th Street,1999,46,49
111th Street,1999,45,58
Kensington (115th Street),1999,1399,1322
Riverdale,1999,580,548
Ivanhoe,1999,1201,1199
147th Street (Sibley Boulevard),1999,1411,1366
Harvey,1999,1172,1151
Hazel Crest,1999,697,720
Calumet,1999,1128,1101
Homewood,1999,1578,1617
Flossmoor,1999,1064,1033
Olympia Fields,1999,204,219
211th Street (Lincoln Highway),1999,1279,1279
Matteson,1999,975,945
Richton Park,1999,1665,1648
University Park,1999,1009,1017
LaSalle Street,1999,16336,16169
Gresham,1999,690,660
Longwood (95th Street),1999,140,131
Washington Heights,1999,220,241
Blue Island (Vermont Street),1999,954,975
Robbins,1999,94,96
Midlothian,1999,1144,1129
Oak Forest,1999,1672,1628
Tinley Park,1999,1247,1268
80th Avenue (Tinley Park),1999,1822,1856
Hickory Creek,1999,943,958
Mokena,1999,655,627
New Lenox,1999,897,905
Joliet,1999,830,801
Brainerd,1999,375,366
91st Street (Beverly Hills),1999,641,636
95th Street (Beverly Hills),1999,661,698
99th Street (Beverly Hills),1999,756,791
103rd Street (Beverly Hills),1999,969,964
107th Street (Beverly Hills),1999,628,621
111th Street (Morgan Park),1999,889,906
115th Street (Morgan Park),1999,265,234
119th Street,1999,375,391
123rd Street,1999,61,62
Prairie Street,1999,41,45
Union Station,1999,51221,52181
Wrightwood,1999,197,221
Ashburn,1999,312,322
Oak Lawn,1999,756,842
Chicago Ridge,1999,485,451
Worth,1999,557,565
Palos Park,1999,273,247
143rd Street (Orland Park),1999,315,272
153rd Street (Orland Park),1999,451,400
179th Street (Orland Park),1999,97,99
Summit,1999,66,76
Willow Springs,1999,82,86
Lemont,1999,341,329
Lockport,1999,201,202
Halsted Street,1999,14,26
Western Avenue (18th),1999,92,75
Cicero,1999,256,260
LaVergne,1999,229,235
Berwyn,1999,860,900
Harlem Avenue,1999,698,584
Riverside,1999,466,542
Hollywood,1999,144,133
Brookfield,1999,648,656
Congress Park,1999,86,77
LaGrange Road,1999,1496,1466
Stone Avenue (LaGrange),1999,1123,1032
Western Springs,1999,1179,1145
Highlands,1999,228,204
Hinsdale,1999,1156,1141
West Hinsdale,1999,378,338
Clarendon Hills,1999,957,947
Westmont,1999,1282,1224
Fairview Avenue (Downers Grove),1999,550,513
Main Street (Downers Grove),1999,2277,2234
Belmont,1999,1515,1495
Lisle,1999,2576,2528
Naperville,1999,4040,3857
Route 59,1999,4178,4071
Aurora,1999,1467,1387
Kedzie,1999,18,25
Oak Park (Marion Street),1999,1038,1133
River Forest,1999,406,411
Maywood,1999,84,89
Melrose Park,1999,149,147
Bellwood,1999,205,229
Berkeley,1999,194,185
Elmhurst,1999,1776,1762
Villa Park,1999,949,950
Lombard,1999,1269,1277
Glen Ellyn,1999,1889,1899
College Avenue,1999,981,985
Wheaton,1999,1865,1833
Winfield,1999,538,542
West Chicago,1999,499,505
Geneva,1999,1642,1657
Western Avenue (Grand),1999,631,1150
Hanson Park,1999,54,55
Galewood,1999,336,313
Mars,1999,128,111
Mont Clare,1999,440,434
Elmwood Park,1999,471,442
River Grove,1999,360,340
Franklin Park,1999,499,503
Mannheim,1999,39,42
Bensenville,1999,498,498
Wood Dale,1999,719,695
Itasca,1999,642,621
Medinah,1999,529,479
Roselle,1999,1617,1672
Schaumburg,1999,1733,1673
Hanover Park,1999,1506,1473
Bartlett,1999,1173,1136
National Street,1999,618,588
Elgin,1999,419,404
Big Timber Road,1999,482,473
Ogilvie Transportation Center,1999,39195,39106
Clybourn,1999,1010,1237
Irving Park,1999,408,390
Jefferson Park,1999,719,693
Gladstone Park,1999,129,145
Norwood Park,1999,329,298
Edison Park,1999,547,563
Park Ridge,1999,922,928
Dee Road,1999,438,430
Des Plaines,1999,1148,1123
Cumberland,1999,523,514
Mount Prospect,1999,1804,1793
Arlington Heights,1999,2579,2557
Arlington Park,1999,1904,1879
Palatine,1999,2091,2075
Barrington,1999,1745,1782
Fox River Grove,1999,428,424
Cary,1999,951,965
Crystal Lake,1999,1501,1493
Woodstock,1999,349,352
Harvard,1999,222,226
McHenry,1999,159,164
Healy,1999,272,262
Grayland,1999,263,262
Mayfair,1999,239,227
Forest Glen,1999,320,288
Edgebrook,1999,578,585
Morton Grove,1999,989,991
Golf,1999,326,291
Glenview,1999,1646,1571
Northbrook,1999,1505,1477
Lake Cook Road,1999,1128,1149
Deerfield,1999,1279,1211
Lake Forest (West),1999,717,753
Libertyville,1999,1118,1130
Grayslake,1999,827,844
Round Lake,1999,534,517
Long Lake,1999,83,83
Ingleside,1999,75,71
Fox Lake,1999,547,564
O'Hare Transfer,1999,83,91
Prospect Heights,1999,228,216
Wheeling,1999,282,247
Buffalo Grove,1999,599,562
Prairie View,1999,232,238
Vernon Hills,1999,272,249
Mundelein,1999,227,221
Prairie Crossing (Libertyville),1999,54,54
Round Lake Beach,1999,130,127
Lake Villa,1999,108,100
Antioch,1999,141,120
Ravenswood,1999,1246,1194
Rogers Park,1999,1072,1030
Main Street (Evanston),1999,933,930
Davis Street (Evanston),1999,1395,1427
Central Street (Evanston),1999,1246,1230
Wilmette,1999,1494,1501
Kenilworth,1999,480,460
Indian Hill,1999,378,404
Winnetka,1999,660,659
Hubbard Woods,1999,441,432
Glencoe,1999,786,766
Braeside,1999,330,322
Ravinia,1999,347,348
Highland Park,1999,1124,1110
Highwood,1999,270,266
Fort Sheridan,1999,276,268
Lake Forest,1999,689,687
Lake Bluff,1999,420,406
Great Lakes,1999,153,148
North Chicago,1999,200,200
Waukegan,1999,925,919
Zion,1999,93,89
Winthrop Harbor,1999,49,49
Kenosha,1999,301,300
Hammond,1999,898,986
East Chicago,1999,1557,1585
Gary / Chicago Airport,1999,164,146
Gary Metro Center,1999,569,544
Miller,1999,412,408
Ogden Dunes,1999,225,260
Dune Park,1999,392,441
Beverly Shores,1999,20,28
11th Street (Michigan City),1999,109,90
Carroll Avenue (Michigan City),1999,148,126
Hudson Lake,1999,2,5
South Bend Airport,1999,133,92
Clyde,1999,64,66
Hermosa,1999,44,57
Cragin,1999,38,41
Stony Island,1997,221,246
Bryn Mawr,1997,265,262
South Shore,1997,445,451
Windsor Park,1997,289,278
Cheltenham (79th Street),1997,172,167
83rd Street,1997,417,423
87th Street,1997,244,253
93rd Street (South Chicago),1997,997,964
Hegewisch,1997,1775,1749
State Street,1997,94,83
Stewart Ridge,1997,84,71
West Pullman,1997,43,45
Racine Avenue,1997,85,84
Ashland Avenue,1997,137,118
Burr Oak,1997,212,212
Blue Island,1997,266,254
Millennium Station,1997,18504,17415
Van Buren Street,1997,7231,8905
Roosevelt Road,1997,433,566
18th Street,1997,21,27
McCormick Place,1997,1000,528
27th Street,1997,117,112
47th Street (Kenwood),1997,93,107
53rd Street (Hyde Park),1997,769,769
55th-56th-57th Street,1997,602,575
59th Street (University of Chicago),1997,1267,1252
63rd Street,1997,95,120
75th Street (Grand Crossing),1997,26,33
79th Street (Chatham),1997,157,143
83rd Street (Avalon Park),1997,97,85
87th Street (Woodruff),1997,76,75
91st Street (Chesterfield),1997,39,27
95th Street (Chicago State University),1997,58,74
103rd Street (Rosemoor),1997,96,66
107th Street,1997,43,31
111th Street,1997,64,50
Kensington (115th Street),1997,1259,1216
Riverdale,1997,533,522
Ivanhoe,1997,1163,1123
147th Street (Sibley Boulevard),1997,1334,1329
Harvey,1997,1266,1238
Hazel Crest,1997,675,681
Calumet,1997,1143,1142
Homewood,1997,1566,1566
Flossmoor,1997,1146,1113
Olympia Fields,1997,206,214
211th Street (Lincoln Highway),1997,1159,1164
Matteson,1997,907,927
Richton Park,1997,1716,1726
University Park,1997,851,861
LaSalle Street,1997,15002,15032
Gresham,1997,650,680
Longwood (95th Street),1997,111,115
Washington Heights,1997,198,207
Blue Island (Vermont Street),1997,1030,988
Robbins,1997,119,143
Midlothian,1997,1135,1145
Oak Forest,1997,1594,1575
Tinley Park,1997,1169,1156
80th Avenue (Tinley Park),1997,1585,1570
Hickory Creek,1997,719,713
Mokena,1997,606,615
New Lenox,1997,861,848
Joliet,1997,651,651
Brainerd,1997,301,268
91st Street (Beverly Hills),1997,608,620
95th Street (Beverly Hills),1997,637,681
99th Street (Beverly Hills),1997,773,706
103rd Street (Beverly Hills),1997,987,939
107th Street (Beverly Hills),1997,544,533
111th Street (Morgan Park),1997,774,786
115th Street (Morgan Park),1997,223,220
119th Street,1997,370,350
123rd Street,1997,81,62
Prairie Street,1997,59,53
Union Station,1997,48579,48930
Wrightwood,1997,174,148
Ashburn,1997,344,367
Oak Lawn,1997,701,716
Chicago Ridge,1997,520,494
Worth,1997,547,489
Palos Park,1997,204,208
143rd Street (Orland Park),1997,249,247
153rd Street (Orland Park),1997,429,418
179th Street (Orland Park),1997,79,76
Summit,1997,62,56
Willow Springs,1997,67,100
Lemont,1997,252,217
Lockport,1997,182,140
Halsted Street,1997,21,34
Western Avenue (18th),1997,94,81
Cicero,1997,208,255
LaVergne,1997,221,227
Berwyn,1997,804,860
Harlem Avenue,1997,676,637
Riverside,1997,492,482
Hollywood,1997,133,106
Brookfield,1997,633,658
Congress Park,1997,126,74
LaGrange Road,1997,1366,1421
Stone Avenue (LaGrange),1997,1153,1057
Western Springs,1997,1081,1101
Highlands,1997,238,238
Hinsdale,1997,1215,1186
West Hinsdale,1997,374,318
Clarendon Hills,1997,902,919
Westmont,1997,1292,1294
Fairview Avenue (Downers Grove),1997,572,520
Main Street (Downers Grove),1997,2205,2195
Belmont,1997,1495,1408
Lisle,1997,2648,2654
Naperville,1997,3516,3567
Route 59,1997,3322,3211
Aurora,1997,1387,1406
Kedzie,1997,44,38
Oak Park (Marion Street),1997,1237,1284
River Forest,1997,375,370
Maywood,1997,95,95
Melrose Park,1997,117,110
Bellwood,1997,196,192
Berkeley,1997,205,207
Elmhurst,1997,1805,1778
Villa Park,1997,1015,1003
Lombard,1997,1285,1240
Glen Ellyn,1997,1949,1914
College Avenue,1997,973,963
Wheaton,1997,1990,1989
Winfield,1997,538,531
West Chicago,1997,518,526
Geneva,1997,1607,1584
Western Avenue (Grand),1997,520,961
Hanson Park,1997,76,75
Galewood,1997,323,322
Mars,1997,117,110
Mont Clare,1997,467,472
Elmwood Park,1997,473,472
River Grove,1997,324,350
Franklin Park,1997,496,483
Mannheim,1997,32,37
Bensenville,1997,501,495
Wood Dale,1997,709,735
Itasca,1997,609,603
Medinah,1997,516,498
Roselle,1997,1628,1645
Schaumburg,1997,1647,1618
Hanover Park,1997,1460,1442
Bartlett,1997,1184,1169
National Street,1997,559,554
Elgin,1997,361,356
Big Timber Road,1997,385,380
Ogilvie Transportation Center,1997,38737,38948
Clybourn,1997,879,1265
Irving Park,1997,376,360
Jefferson Park,1997,706,691
Gladstone Park,1997,111,118
Norwood Park,1997,273,276
Edison Park,1997,541,549
Park Ridge,1997,874,855
Dee Road,1997,389,389
Des Plaines,1997,1111,1067
Cumberland,1997,520,507
Mount Prospect,1997,1754,1727
Arlington Heights,1997,2572,2534
Arlington Park,1997,1980,1936
Palatine,1997,2092,2077
Barrington,1997,1758,1742
Fox River Grove,1997,370,364
Cary,1997,899,886
Crystal Lake,1997,1495,1473
Woodstock,1997,314,341
Harvard,1997,203,220
McHenry,1997,154,137
Healy,1997,259,247
Grayland,1997,213,192
Mayfair,1997,154,176
Forest Glen,1997,239,212
Edgebrook,1997,586,574
Morton Grove,1997,825,823
Golf,1997,309,259
Glenview,1997,1423,1398
Northbrook,1997,1459,1435
Lake Cook Road,1997,740,771
Deerfield,1997,1307,1202
Lake Forest (West),1997,608,615
Libertyville,1997,1089,1107
Grayslake,1997,745,745
Round Lake,1997,498,486
Long Lake,1997,95,95
Ingleside,1997,50,54
Fox Lake,1997,558,551
O'Hare Transfer,1997,68,71
Prospect Heights,1997,192,195
Wheeling,1997,245,217
Buffalo Grove,1997,534,488
Prairie View,1997,217,210
Vernon Hills,1997,231,226
Mundelein,1997,223,213
Prairie Crossing (Libertyville),1997,38,40
Round Lake Beach,1997,111,98
Lake Villa,1997,87,87
Antioch,1997,124,117
Ravenswood,1997,914,844
Rogers Park,1997,977,908
Main Street (Evanston),1997,756,718
Davis Street (Evanston),1997,1322,1390
Central Street (Evanston),1997,1161,1138
Wilmette,1997,1484,1459
Kenilworth,1997,505,468
Indian Hill,1997,375,377
Winnetka,1997,668,694
Hubbard Woods,1997,456,444
Glencoe,1997,774,754
Braeside,1997,247,241
Ravinia,1997,362,362
Highland Park,1997,1133,1157
Highwood,1997,258,250
Fort Sheridan,1997,276,275
Lake Forest,1997,661,632
Lake Bluff,1997,425,423
Great Lakes,1997,118,104
North Chicago,1997,220,216
Waukegan,1997,806,810
Zion,1997,91,86
Winthrop Harbor,1997,47,47
Kenosha,1997,306,316
Hammond,1997,931,922
East Chicago,1997,1544,1608
Gary / Chicago Airport,1997,143,119
Gary Metro Center,1997,543,587
Miller,1997,368,399
Ogden Dunes,1997,244,267
Dune Park,1997,378,419
Beverly Shores,1997,30,18
11th Street (Michigan City),1997,101,85
Carroll Avenue (Michigan City),1997,160,154
Hudson Lake,1997,2,3
South Bend Airport,1997,104,98
Clyde,1997,80,70
Hermosa,1997,53,59
Cragin,1997,53,54
Stony Island,1995,201,195
Bryn Mawr,1995,236,242
South Shore,1995,395,396
Windsor Park,1995,261,284
Cheltenham (79th Street),1995,192,207
83rd Street,1995,415,433
87th Street,1995,260,256
93rd Street (South Chicago),1995,942,949
Hegewisch,1995,1778,1817
State Street,1995,86,73
Stewart Ridge,1995,68,60
West Pullman,1995,57,53
Racine Avenue,1995,76,69
Ashland Avenue,1995,138,137
Burr Oak,1995,251,242
Blue Island,1995,303,300
Millennium Station,1995,18242,16625
Van Buren Street,1995,6928,8507
Roosevelt Road,1995,420,513
18th Street,1995,24,24
McCormick Place,1995,85,86
27th Street,1995,125,183
47th Street (Kenwood),1995,106,113
53rd Street (Hyde Park),1995,691,735
55th-56th-57th Street,1995,609,625
59th Street (University of Chicago),1995,1261,1316
63rd Street,1995,88,124
75th Street (Grand Crossing),1995,23,32
79th Street (Chatham),1995,122,130
83rd Street (Avalon Park),1995,82,75
87th Street (Woodruff),1995,101,87
91st Street (Chesterfield),1995,31,22
95th Street (Chicago State University),1995,41,55
103rd Street (Rosemoor),1995,77,82
107th Street,1995,36,42
111th Street,1995,41,47
Kensington (115th Street),1995,1072,1048
Riverdale,1995,568,563
Ivanhoe,1995,1197,1197
147th Street (Sibley Boulevard),1995,1338,1328
Harvey,1995,1293,1273
Hazel Crest,1995,772,764
Calumet,1995,1124,1077
Homewood,1995,1584,1575
Flossmoor,1995,1286,1258
Olympia Fields,1995,255,243
211th Street (Lincoln Highway),1995,1173,1163
Matteson,1995,937,949
Richton Park,1995,1651,1631
University Park,1995,912,924
LaSalle Street,1995,14867,14774
Gresham,1995,552,580
Longwood (95th Street),1995,134,138
Washington Heights,1995,197,207
Blue Island (Vermont Street),1995,904,889
Robbins,1995,142,125
Midlothian,1995,1262,1212
Oak Forest,1995,1508,1468
Tinley Park,1995,1331,1336
80th Avenue (Tinley Park),1995,1240,1226
Hickory Creek,1995,801,782
Mokena,1995,524,514
New Lenox,1995,823,817
Joliet,1995,615,587
Brainerd,1995,316,347
91st Street (Beverly Hills),1995,716,716
95th Street (Beverly Hills),1995,602,649
99th Street (Beverly Hills),1995,721,746
103rd Street (Beverly Hills),1995,1026,1033
107th Street (Beverly Hills),1995,588,602
111th Street (Morgan Park),1995,796,809
115th Street (Morgan Park),1995,267,268
119th Street,1995,390,393
123rd Street,1995,73,76
Prairie Street,1995,65,63
Union Station,1995,45307,45732
Wrightwood,1995,147,149
Ashburn,1995,322,324
Oak Lawn,1995,713,754
Chicago Ridge,1995,474,491
Worth,1995,480,474
Palos Park,1995,213,211
143rd Street (Orland Park),1995,319,292
153rd Street (Orland Park),1995,290,290
179th Street (Orland Park),1995,67,56
Summit,1995,74,79
Willow Springs,1995,82,79
Lemont,1995,247,235
Lockport,1995,128,119
Halsted Street,1995,22,23
Western Avenue (18th),1995,92,88
Cicero,1995,249,223
LaVergne,1995,227,191
Berwyn,1995,921,951
Harlem Avenue,1995,738,671
Riverside,1995,482,471
Hollywood,1995,174,158
Brookfield,1995,659,662
Congress Park,1995,113,94
LaGrange Road,1995,1388,1410
Stone Avenue (LaGrange),1995,1090,1022
Western Springs,1995,1138,1150
Highlands,1995,269,237
Hinsdale,1995,1231,1205
West Hinsdale,1995,409,356
Clarendon Hills,1995,928,914
Westmont,1995,1290,1232
Fairview Avenue (Downers Grove),1995,553,548
Main Street (Downers Grove),1995,2023,2053
Belmont,1995,1418,1374
Lisle,1995,2390,2374
Naperville,1995,3271,3228
Route 59,1995,2556,2538
Aurora,1995,1184,1160
Kedzie,1995,32,37
Oak Park (Marion Street),1995,1910,1940
River Forest,1995,407,423
Maywood,1995,132,131
Melrose Park,1995,168,162
Bellwood,1995,173,185
Berkeley,1995,201,200
Elmhurst,1995,1768,1764
Villa Park,1995,973,982
Lombard,1995,1211,1225
Glen Ellyn,1995,1844,1828
College Avenue,1995,1031,1014
Wheaton,1995,2027,2044
Winfield,1995,495,486
West Chicago,1995,520,510
Geneva,1995,1623,1604
Western Avenue (Grand),1995,358,594
Hanson Park,1995,53,66
Galewood,1995,347,351
Mars,1995,132,131
Mont Clare,1995,478,497
Elmwood Park,1995,471,467
River Grove,1995,285,293
Franklin Park,1995,547,547
Mannheim,1995,27,21
Bensenville,1995,521,512
Wood Dale,1995,672,660
Itasca,1995,546,530
Medinah,1995,407,386
Roselle,1995,1620,1643
Schaumburg,1995,1569,1581
Hanover Park,1995,1356,1343
Bartlett,1995,1213,1201
National Street,1995,562,548
Elgin,1995,373,359
Big Timber Road,1995,347,334
Ogilvie Transportation Center,1995,39708,39929
Clybourn,1995,999,1227
Irving Park,1995,414,441
Jefferson Park,1995,740,754
Gladstone Park,1995,119,135
Norwood Park,1995,320,328
Edison Park,1995,518,539
Park Ridge,1995,820,796
Dee Road,1995,428,421
Des Plaines,1995,1117,1109
Cumberland,1995,543,557
Mount Prospect,1995,1899,1907
Arlington Heights,1995,2833,2801
Arlington Park,1995,1957,1930
Palatine,1995,1957,1928
Barrington,1995,1831,1799
Fox River Grove,1995,359,342
Cary,1995,973,959
Crystal Lake,1995,1463,1430
Woodstock,1995,357,358
Harvard,1995,235,229
McHenry,1995,162,143
Healy,1995,252,254
Grayland,1995,207,191
Mayfair,1995,136,145
Forest Glen,1995,232,233
Edgebrook,1995,587,581
Morton Grove,1995,772,762
Golf,1995,271,263
Glenview,1995,1423,1404
Northbrook,1995,1546,1541
Deerfield,1995,1765,1740
Lake Forest (West),1995,674,660
Libertyville,1995,1222,1230
Grayslake,1995,691,674
Round Lake,1995,487,471
Long Lake,1995,58,67
Ingleside,1995,27,27
Fox Lake,1995,500,487
Ravenswood,1995,878,789
Rogers Park,1995,877,824
Main Street (Evanston),1995,773,712
Davis Street (Evanston),1995,1208,1251
Central Street (Evanston),1995,1210,1171
Wilmette,1995,1505,1532
Kenilworth,1995,446,437
Indian Hill,1995,372,382
Winnetka,1995,721,718
Hubbard Woods,1995,428,407
Glencoe,1995,770,759
Braeside,1995,275,256
Ravinia,1995,416,390
Highland Park,1995,1118,1058
Highwood,1995,246,245
Fort Sheridan,1995,296,297
Lake Forest,1995,652,625
Lake Bluff,1995,379,372
Great Lakes,1995,110,92
North Chicago,1995,192,187
Waukegan,1995,841,876
Zion,1995,94,90
Winthrop Harbor,1995,57,61
Kenosha,1995,264,267
Load between Hegewisch and Hammond,1995,4255,4165
Clyde,1995,89,94
Hermosa,1995,62,60
Cragin,1995,39,54
Stony Island,1993,210,200
Bryn Mawr,1993,232,248
South Shore,1993,414,375
Windsor Park,1993,274,292
Cheltenham (79th Street),1993,207,190
83rd Street,1993,429,450
87th Street,1993,272,304
93rd Street (South Chicago),1993,1001,1074
Hegewisch,1993,1720,1773
State Street,1993,87,86
Stewart Ridge,1993,67,70
West Pullman,1993,46,43
Racine Avenue,1993,64,66
Ashland Avenue,1993,167,165
Burr Oak,1993,283,278
Blue Island,1993,416,416
Millennium Station,1993,18589,16619
Van Buren Street,1993,7064,8654
Roosevelt Road,1993,475,550
18th Street,1993,27,37
McCormick Place,1993,113,89
27th Street,1993,126,139
47th Street (Kenwood),1993,80,96
53rd Street (Hyde Park),1993,625,677
55th-56th-57th Street,1993,574,601
59th Street (University of Chicago),1993,1216,1141
63rd Street,1993,92,93
75th Street (Grand Crossing),1993,37,30
79th Street (Chatham),1993,144,125
83rd Street (Avalon Park),1993,77,62
87th Street (Woodruff),1993,64,69
91st Street (Chesterfield),1993,36,34
95th Street (Chicago State University),1993,36,44
103rd Street (Rosemoor),1993,76,83
107th Street,1993,39,38
111th Street,1993,48,50
Kensington (115th Street),1993,1148,1132
Riverdale,1993,604,633
Ivanhoe,1993,1286,1306
147th Street (Sibley Boulevard),1993,1435,1423
Harvey,1993,1382,1422
Hazel Crest,1993,802,790
Calumet,1993,1097,1117
Homewood,1993,1623,1622
Flossmoor,1993,1285,1249
Olympia Fields,1993,243,223
211th Street (Lincoln Highway),1993,1126,1181
Matteson,1993,1079,1045
Richton Park,1993,1685,1637
University Park,1993,772,781
LaSalle Street,1993,14877,14766
Gresham,1993,526,534
Longwood (95th Street),1993,127,121
Washington Heights,1993,217,243
Blue Island (Vermont Street),1993,881,953
Robbins,1993,135,122
Midlothian,1993,1183,1210
Oak Forest,1993,1422,1447
Tinley Park,1993,1350,1338
80th Avenue (Tinley Park),1993,1148,1174
Hickory Creek,1993,609,585
Mokena,1993,488,501
New Lenox,1993,732,702
Joliet,1993,480,477
Brainerd,1993,297,292
91st Street (Beverly Hills),1993,714,752
95th Street (Beverly Hills),1993,706,741
99th Street (Beverly Hills),1993,755,744
103rd Street (Beverly Hills),1993,1036,1077
107th Street (Beverly Hills),1993,655,612
111th Street (Morgan Park),1993,940,899
115th Street (Morgan Park),1993,320,315
119th Street,1993,406,403
123rd Street,1993,82,72
Prairie Street,1993,70,70
Union Station,1993,43920,44090
Wrightwood,1993,194,203
Ashburn,1993,372,385
Oak Lawn,1993,727,717
Chicago Ridge,1993,455,439
Worth,1993,413,397
Palos Park,1993,190,196
143rd Street (Orland Park),1993,294,273
153rd Street (Orland Park),1993,224,212
Summit,1993,123,130
Willow Springs,1993,115,120
Lemont,1993,216,213
Lockport,1993,123,123
Halsted Street,1993,24,32
Western Avenue (18th),1993,80,82
Cicero,1993,225,239
LaVergne,1993,276,246
Berwyn,1993,869,901
Harlem Avenue,1993,788,698
Riverside,1993,490,528
Hollywood,1993,123,107
Brookfield,1993,635,666
Congress Park,1993,107,100
LaGrange Road,1993,1360,1418
Stone Avenue (LaGrange),1993,1078,1013
Western Springs,1993,1151,1125
Highlands,1993,223,219
Hinsdale,1993,1163,1124
West Hinsdale,1993,367,315
Clarendon Hills,1993,990,955
Westmont,1993,1275,1247
Fairview Avenue (Downers Grove),1993,604,580
Main Street (Downers Grove),1993,2021,1997
Belmont,1993,1392,1366
Lisle,1993,2280,2335
Naperville,1993,3196,3149
Route 59,1993,2011,2001
Aurora,1993,1033,1026
Kedzie,1993,42,16
Oak Park (Marion Street),1993,1307,1321
River Forest,1993,327,361
Maywood,1993,117,123
Melrose Park,1993,166,149
Bellwood,1993,205,198
Berkeley,1993,201,202
Elmhurst,1993,1730,1671
Villa Park,1993,1055,1037
Lombard,1993,1261,1251
Glen Ellyn,1993,1948,1921
College Avenue,1993,970,953
Wheaton,1993,2188,2174
Winfield,1993,540,542
West Chicago,1993,495,510
Geneva,1993,1370,1364
Western Avenue (Grand),1993,322,758
Hanson Park,1993,49,41
Galewood,1993,343,343
Mars,1993,129,131
Mont Clare,1993,548,498
Elmwood Park,1993,408,378
River Grove,1993,244,251
Franklin Park,1993,506,485
Mannheim,1993,48,68
Bensenville,1993,526,535
Wood Dale,1993,666,683
Itasca,1993,501,512
Medinah,1993,274,282
Roselle,1993,1797,1805
Schaumburg,1993,1363,1338
Hanover Park,1993,1455,1439
Bartlett,1993,1109,1129
National Street,1993,439,414
Elgin,1993,421,428
Big Timber Road,1993,128,132
Ogilvie Transportation Center,1993,39963,40185
Clybourn,1993,854,1147
Irving Park,1993,407,401
Jefferson Park,1993,736,757
Gladstone Park,1993,138,132
Norwood Park,1993,307,318
Edison Park,1993,544,527
Park Ridge,1993,900,882
Dee Road,1993,489,454
Des Plaines,1993,1237,1209
Cumberland,1993,559,575
Mount Prospect,1993,2055,2056
Arlington Heights,1993,3001,2988
Arlington Park,1993,1945,1940
Palatine,1993,2092,2046
Barrington,1993,1859,1829
Fox River Grove,1993,367,367
Cary,1993,853,822
Crystal Lake,1993,1316,1325
Woodstock,1993,365,387
Harvard,1993,181,186
McHenry,1993,179,146
Healy,1993,256,219
Grayland,1993,198,153
Mayfair,1993,136,121
Forest Glen,1993,197,195
Edgebrook,1993,527,507
Morton Grove,1993,710,705
Golf,1993,288,256
Glenview,1993,1425,1448
Northbrook,1993,1612,1571
Deerfield,1993,1676,1668
Lake Forest (West),1993,680,682
Libertyville,1993,1228,1204
Grayslake,1993,509,496
Round Lake,1993,428,433
Long Lake,1993,73,79
Ingleside,1993,39,39
Fox Lake,1993,443,435
Ravenswood,1993,747,688
Rogers Park,1993,924,860
Main Street (Evanston),1993,726,773
Davis Street (Evanston),1993,1124,1177
Central Street (Evanston),1993,1226,1184
Wilmette,1993,1465,1521
Kenilworth,1993,468,442
Indian Hill,1993,372,345
Winnetka,1993,695,716
Hubbard Woods,1993,444,431
Glencoe,1993,789,784
Braeside,1993,292,267
Ravinia,1993,327,299
Highland Park,1993,1171,1176
Highwood,1993,290,255
Fort Sheridan,1993,279,268
Lake Forest,1993,721,714
Lake Bluff,1993,390,386
Great Lakes,1993,186,126
North Chicago,1993,139,149
Waukegan,1993,752,754
Zion,1993,100,104
Winthrop Harbor,1993,34,34
Kenosha,1993,308,313
